"Year","fitted_values","year_minus","type","model_name"
1998,33.93,5,"estimate","m1"
1999,107.16,5,"estimate","m1"
2000,24.58,5,"estimate","m1"
2001,53.63,5,"estimate","m1"
2002,39.14,5,"estimate","m1"
2003,37.87,5,"estimate","m1"
2004,42.27,5,"estimate","m1"
2005,57.08,5,"estimate","m1"
2006,28.88,5,"estimate","m1"
2007,35.2,5,"estimate","m1"
2008,21,5,"estimate","m1"
2009,32,5,"estimate","m1"
2010,32.12,5,"estimate","m1"
2011,61.64,5,"estimate","m1"
2012,23.79,5,"estimate","m1"
2013,49.66,5,"estimate","m1"
2014,29.96,5,"estimate","m1"
2015,55.03,5,"estimate","m1"
2016,33.56,5,"estimate","m1"
2017,67.3,5,"estimate","m1"
