"Year","fitted_values","year_minus","type","model_name"
1998,31.85,3,"estimate","m1"
1999,126.79,3,"estimate","m1"
2000,21.62,3,"estimate","m1"
2001,55.2,3,"estimate","m1"
2002,37.81,3,"estimate","m1"
2003,36.34,3,"estimate","m1"
2004,41.47,3,"estimate","m1"
2005,59.49,3,"estimate","m1"
2006,26.24,3,"estimate","m1"
2007,33.28,3,"estimate","m1"
2008,17.89,3,"estimate","m1"
2009,29.68,3,"estimate","m1"
2010,29.81,3,"estimate","m1"
2011,65.24,3,"estimate","m1"
2012,20.78,3,"estimate","m1"
2013,50.33,3,"estimate","m1"
2014,27.42,3,"estimate","m1"
2015,56.92,3,"estimate","m1"
2016,31.43,3,"estimate","m1"
2017,72.51,3,"estimate","m1"
2018,12.47,3,"estimate","m1"
2019,17.89,3,"estimate","m1"
2020,17.66,3,"estimate","m1"
