"Year","fitted_values","year_minus","type","model_name"
1998,34.22,7,"estimate","m1"
1999,123.38,7,"estimate","m1"
2000,23.89,7,"estimate","m1"
2001,57.01,7,"estimate","m1"
2002,40.12,7,"estimate","m1"
2003,38.68,7,"estimate","m1"
2004,43.72,7,"estimate","m1"
2005,61.11,7,"estimate","m1"
2006,28.59,7,"estimate","m1"
2007,35.64,7,"estimate","m1"
2008,20.04,7,"estimate","m1"
2009,32.05,7,"estimate","m1"
2010,32.18,7,"estimate","m1"
2011,66.58,7,"estimate","m1"
2012,23.02,7,"estimate","m1"
2013,52.33,7,"estimate","m1"
2014,29.78,7,"estimate","m1"
2015,58.67,7,"estimate","m1"
2016,33.8,7,"estimate","m1"
