"Year","fitted_values","year_minus","type","model_name"
1998,32.84,3,"estimate","m1"
1999,117.24,3,"estimate","m1"
2000,22.99,3,"estimate","m1"
2001,54.51,3,"estimate","m1"
2002,38.47,3,"estimate","m1"
2003,37.09,3,"estimate","m1"
2004,41.88,3,"estimate","m1"
2005,58.39,3,"estimate","m1"
2006,27.48,3,"estimate","m1"
2007,34.2,3,"estimate","m1"
2008,19.31,3,"estimate","m1"
2009,30.78,3,"estimate","m1"
2010,30.91,3,"estimate","m1"
2011,63.58,3,"estimate","m1"
2012,22.17,3,"estimate","m1"
2013,50.06,3,"estimate","m1"
2014,28.61,3,"estimate","m1"
2015,56.07,3,"estimate","m1"
2016,32.45,3,"estimate","m1"
2017,70.08,3,"estimate","m1"
2018,13.85,3,"estimate","m1"
2019,19.31,3,"estimate","m1"
