"Year","fitted_values","year_minus","type","model_name"
1998,28.71,10,"estimate","m2"
1999,115.39,10,"estimate","m2"
2000,26,10,"estimate","m2"
2001,63.27,10,"estimate","m2"
2002,38.21,10,"estimate","m2"
2003,52.15,10,"estimate","m2"
2004,37.31,10,"estimate","m2"
2005,53.8,10,"estimate","m2"
2006,15.76,10,"estimate","m2"
2007,37.6,10,"estimate","m2"
2008,18.17,10,"estimate","m2"
2009,47.73,10,"estimate","m2"
2010,25.88,10,"estimate","m2"
2011,58.74,10,"estimate","m2"
2012,23.97,10,"estimate","m2"
