JYear,SEAKCatch,CPUEcal,ISTI,Pink_Peak,index
1997,42.5,2.477744394,9.259388125,7,pink_cal_sp
1998,77.8,5.622379984,9.489001146,6,pink_cal_sp
1999,20.3,1.597723341,8.55974875,7,pink_cal_sp
2000,67,3.729984668,8.755733229,7,pink_cal_sp
2001,45.3,2.868826043,9.027826496,7,pink_cal_sp
2002,52.5,2.784664064,8.197730295,7,pink_cal_sp
2003,45.3,3.077820362,9.349481875,7,pink_cal_sp
2004,59.1,3.89940674,9.268800677,6,pink_cal_sp
2005,11.6,2.040345363,10.20316094,6,pink_cal_sp
2006,44.8,2.572780687,8.771492917,6,pink_cal_sp
2007,15.9,1.167638593,8.950851771,7,pink_cal_sp
2008,38,2.555110705,7.924594722,7,pink_cal_sp
2009,24,2.205387755,9.378418351,7,pink_cal_sp
2010,58.9,3.883592976,9.395296111,7,pink_cal_sp
2011,21.3,1.375258449,8.669406424,7,pink_cal_sp
2012,94.7,3.328878775,8.725248086,7,pink_cal_sp
2013,37.2,2.02555827,8.865461372,7,pink_cal_sp
2014,35.1,3.608562898,9.093034323,7,pink_cal_sp
2015,18.4,2.318486729,9.645331998,6,pink_cal_sp
2016,34.7,4.113087664,10.29717619,6,pink_cal_sp
2017,8.1,0.326919369,8.559985625,7,pink_cal_sp
2018,21.1,1.233765062,8.924952083,7,pink_cal_sp
2019,7.967961,1.202606515,9.91121125,7,pink_cal_sp
2020,,2.261528925,8.888254,7,pink_cal_sp
